caso,tipo_hallazgo,valor_hallazgo_opensearch,flujo_para_llegar,producto_group,comportamiento_actual,necesita_mensaje_propio
activo_castigado_int,activo_castigado,12,Centrales de riesgo > No estoy de acuerdo / No recibi notificacion > seleccionar producto,activo,Muestra mensaje de mora con 0 dias (usa _build_mora_negative_report_message con behavior_vector=[1]),SI
activo_castigado_objeto,activo_castigado,"{""meses_desde_castigo"": 6, ""meses_desde_pago"": 3, ""meses_en_deuda"": 24, ""meses_reportado"": 6}",Centrales de riesgo > No estoy de acuerdo / No recibi notificacion > seleccionar producto,activo,Muestra mensaje de mora con 0 dias (datos del objeto JSON ignorados),SI
activo_castigado_no_aparece,activo_castigado,No aparece en Centrales,Centrales de riesgo > No estoy de acuerdo / No recibi notificacion > seleccionar producto,activo,Muestra mensaje de mora con 0 dias (string no parseable),SI
activo_reestructurado_int,activo_reestructurado,18,Centrales de riesgo > No estoy de acuerdo / No recibi notificacion > seleccionar producto,activo,Muestra mensaje generico sin reporte central (_build_no_central_report_message),SI
activo_reestructurado_no_aparece,activo_reestructurado,No aparece en Centrales,Centrales de riesgo > No estoy de acuerdo / No recibi notificacion > seleccionar producto,activo,Muestra mensaje generico sin reporte central (_build_no_central_report_message),SI
activo_mora_no_aparece,activo_mora,No aparece en Centrales,Centrales de riesgo > No estoy de acuerdo / No recibi notificacion > seleccionar producto,activo,Flag default_flag=True pero mora_days=0; muestra mensaje de mora con 0 dias o no genera castigo,SI
activo_mora_int_sin_json,activo_mora,60,Centrales de riesgo > No estoy de acuerdo > seleccionar producto (sin archivo commercial_info),activo,No-JSON branch: behavior_vector=[1] (60<120) > no genera castigo. OK si dato es correcto,REVISAR
activo_mora_int_con_json,activo_mora,150,Centrales de riesgo > No estoy de acuerdo > seleccionar producto (con archivo commercial_info),activo,Con-JSON: cross_validate_mora True si behavior_vector tiene simbolos no-N > muestra permanencia. OK,OK
embargada_sin_embargo,embargada,Status Actualizado sin embargo,Centrales de riesgo > Cuenta con embargo > seleccionar producto,pasivo,Muestra mensaje actualizado_sin_embargo con estado y producto. OK,OK
embargada_pendiente,embargada,Pendiente Actualizar Centrales,Centrales de riesgo > Cuenta con embargo > seleccionar producto,pasivo,Muestra mensaje PQR con enlace formulario. OK,OK
embargada_con_embargo,embargada,Status Actualizado com embargo,Centrales de riesgo > Cuenta con embargo > seleccionar producto,pasivo,Muestra detalle de embargo vigente (entidad / monto / fecha). OK,OK
vendida_pendiente,vendida,Actualizacion Pendiente en 30 dias,Centrales de riesgo > Cuenta con embargo > seleccionar producto,pasivo,Muestra mensaje embargo levantado con fecha. OK,OK
vendida_comprador,vendida,CREDI CAMILO SAS,Centrales de riesgo > cuenta con embargo > seleccionar producto,pasivo,Muestra mensaje cartera vendida con nombre comprador. OK,OK
